"state","date","cases","deaths","cases_weekly_change","new_cases","deaths_weekly_change","new_deaths"
"Virgin Islands","2020-12-23","1950","23","0.06673956","122.0","0.0","0.0"
"Virginia","2020-12-23","319133","4760","0.09202373","26893.0","0.055900574","252.0"
"Washington","2020-12-23","234832","3245","0.090669274","19522.0","0.033768773","106.0"
"West Virginia","2020-12-23","75936","1194","0.13593328","9087.0","0.14918196","155.0"
"Wisconsin","2020-12-23","500443","4956","0.046597123","22281.0","0.10157812","457.0"
"Wyoming","2020-12-23","42664","373","0.058397412","2354.0","0.13719511","45.0"
"Alabama","2020-12-24","338801","4676","0.09172666","28466.0","0.099200726","422.0"
"Alaska","2020-12-24","44876","191","0.05246365","2237.0","0.08522725","15.0"
"Arizona","2020-12-24","483502","8301","0.10259199","44988.0","0.076514125","590.0"
"Arkansas","2020-12-24","211145","3406","0.08533847","16602.0","0.094473004","294.0"
"California","2020-12-24","2048014","23944","0.16269958","286584.0","0.08074927","1789.0"
"Colorado","2020-12-24","320714","4610","0.06166458","18628.0","0.08089101","345.0"
"Connecticut","2020-12-24","172743","5791","0.07895589","12641.0","0.043047547","239.0"
"Delaware","2020-12-24","53015","888","0.08708584","4247.0","0.050887585","43.0"
"District of Columbia","2020-12-24","27436","756","0.06217575","1606.0","0.042758584","31.0"
"Florida","2020-12-24","1247538","20994","0.06766343","79063.0","0.03398347","690.0"
"Georgia","2020-12-24","597753","10256","0.08950579","49107.0","0.028273463","282.0"
"Guam","2020-12-24","8235","122","0.010181546","83.0","0.01666665","2.0"
"Hawaii","2020-12-24","20707","283","0.046812654","926.0","0.017985582","5.0"
"Idaho","2020-12-24","135383","1353","0.06413102","8159.0","0.06872034","87.0"
"Illinois","2020-12-24","926967","16964","0.051902533","45738.0","0.061112165","977.0"
"Indiana","2020-12-24","485681","7730","0.0791136","35607.0","0.076601624","550.0"
"Iowa","2020-12-24","273661","3739","0.04367113","11451.0","0.08345401","288.0"
"Kansas","2020-12-24","212962","2507","0.0745399","14773.0","0.11273861","254.0"
"Kentucky","2020-12-24","253437","2780","0.06863296","16277.0","0.07961166","205.0"
"Louisiana","2020-12-24","296499","7272","0.06149912","17178.0","0.04422748","308.0"
"Maine","2020-12-24","21226","317","0.18574381","3325.0","0.14855075","41.0"
"Maryland","2020-12-24","260994","5627","0.068565845","16747.0","0.057905674","308.0"
"Massachusetts","2020-12-24","341925","11963","0.10566962","32678.0","0.035040617","405.0"
"Michigan","2020-12-24","507545","12406","0.043526053","21170.0","0.05198002","613.0"
"Minnesota","2020-12-24","404462","5109","0.039133668","15232.0","0.08310366","392.0"
"Mississippi","2020-12-24","202651","4556","0.078481555","14747.0","0.054629683","236.0"
"Missouri","2020-12-24","399528","5627","0.056913257","21514.0","0.10311699","526.0"
"Montana","2020-12-24","79066","918","0.04660797","3521.0","0.081272125","69.0"
"Nebraska","2020-12-24","161338","1601","0.04476607","6913.0","0.080296874","119.0"
"Nevada","2020-12-24","212662","2926","0.07917929","15603.0","0.091791034","246.0"
"New Hampshire","2020-12-24","38902","690","0.13536072","4638.0","0.09697938","61.0"
"New Jersey","2020-12-24","451787","18544","0.072521925","30549.0","0.025663733","464.0"
"New Mexico","2020-12-24","135166","2272","0.07236302","9121.0","0.080361366","169.0"
"New York","2020-12-24","896242","36604","0.09374237","76815.0","0.026846528","957.0"
"North Carolina","2020-12-24","498005","6420","0.08559549","39266.0","0.049019575","300.0"
"North Dakota","2020-12-24","90955","1267","0.02117455","1886.0","0.047107458","57.0"
