"state","date","cases","deaths","cases_weekly_change","deaths_weekly_change"
"Alaska","2020-12-23","44602","189","0.055518746","0.08620691"
"Arizona","2020-12-23","475706","8184","0.10288179","0.08282614"
"Arkansas","2020-12-23","207941","3376","0.085831046","0.098243356"
"California","2020-12-23","2013298","23633","0.17317677","0.08006942"
"Colorado","2020-12-23","318027","4531","0.06544566","0.08086836"
"Connecticut","2020-12-23","170705","5736","0.08191097","0.041772604"
"Delaware","2020-12-23","52235","872","0.08984125","0.046818733"
"District of Columbia","2020-12-23","27226","751","0.063432574","0.043055534"
"Florida","2020-12-23","1234391","20873","0.06843436","0.03316343"
"Georgia","2020-12-23","587472","10193","0.08572757","0.028245687"
"Guam","2020-12-23","8180","121","0.005284548","0.008333325"
"Hawaii","2020-12-23","20582","283","0.04769659","0.025362372"
"Idaho","2020-12-23","134258","1343","0.066945314","0.07698476"
"Illinois","2020-12-23","919992","16846","0.054681063","0.06755388"
"Indiana","2020-12-23","479476","7645","0.08054829","0.076608896"
"Iowa","2020-12-23","272112","3668","0.043438196","0.093619585"
"Kansas","2020-12-23","212871","2507","0.07563305","0.11273861"
"Kentucky","2020-12-23","252978","2774","0.08014703","0.09687626"
"Louisiana","2020-12-23","293934","7226","0.06673682","0.0422616"
"Maine","2020-12-23","20491","311","0.18369818","0.16479397"
"Maryland","2020-12-23","258129","5568","0.06639755","0.05654645"
"Massachusetts","2020-12-23","335988","11887","0.104816675","0.03248501"
"Michigan","2020-12-23","507291","12405","0.052969098","0.07105851"
"Minnesota","2020-12-23","402578","5030","0.041677117","0.0854553"
"Mississippi","2020-12-23","200325","4533","0.07908726","0.055659056"
"Missouri","2020-12-23","396409","5588","0.05988872","0.10807061"
"Montana","2020-12-23","78591","917","0.051187754","0.09688997"
"Nebraska","2020-12-23","160586","1597","0.04791057","0.0849185"
"Nevada","2020-12-23","210319","2885","0.08154845","0.084994316"
"New Hampshire","2020-12-23","38512","677","0.15191579","0.08319998"
"New Jersey","2020-12-23","447083","18466","0.07218516","0.025717974"
"New Mexico","2020-12-23","133242","2243","0.07144749","0.09468031"
"New York","2020-12-23","882895","36454","0.09143698","0.02623725"
"North Carolina","2020-12-23","497869","6418","0.09752703","0.06434488"
"North Dakota","2020-12-23","90729","1249","0.0229671","0.039966702"
"Northern Mariana Islands","2020-12-23","118","2","0.044247746","0.0"
"Ohio","2020-12-23","644822","8361","0.10270095","0.07509327"
"Oklahoma","2020-12-23","269276","2283","0.098059416","0.07283831"
"Oregon","2020-12-23","106020","1409","0.085992336","0.112075806"
"Pennsylvania","2020-12-23","586908","14470","0.11749637","0.09621215"
"Puerto Rico","2020-12-23","104103","1408","0.06990683","0.07317078"
"Rhode Island","2020-12-23","82066","1704","0.07685447","0.07169807"
"South Carolina","2020-12-23","282230","5028","0.085003376","0.047500014"
"South Dakota","2020-12-23","96040","1389","0.03710425","0.06846154"
"Tennessee","2020-12-23","527326","6316","0.11876154","0.12584674"
"Texas","2020-12-23","1651560","26624","0.07605958","0.061647654"
"Utah","2020-12-23","257697","1196","0.07054818","0.08529949"
"Vermont","2020-12-23","6680","117","0.111665845","0.11428571"
"Virgin Islands","2020-12-23","1950","23","0.06673956","0.0"
"Virginia","2020-12-23","319133","4760","0.09202373","0.055900574"
"Washington","2020-12-23","234832","3245","0.090669274","0.033768773"
"West Virginia","2020-12-23","75936","1194","0.13593328","0.14918196"
"Wisconsin","2020-12-23","500443","4956","0.046597123","0.10157812"
"Wyoming","2020-12-23","42664","373","0.058397412","0.13719511"
"Alabama","2020-12-24","338801","4676","0.09172666","0.099200726"
"Alaska","2020-12-24","44876","191","0.05246365","0.08522725"
"Arizona","2020-12-24","483502","8301","0.10259199","0.076514125"
"Arkansas","2020-12-24","211145","3406","0.08533847","0.094473004"
"California","2020-12-24","2048014","23944","0.16269958","0.08074927"
"Colorado","2020-12-24","320714","4610","0.06166458","0.08089101"
"Connecticut","2020-12-24","172743","5791","0.07895589","0.043047547"
"Delaware","2020-12-24","53015","888","0.08708584","0.050887585"
"District of Columbia","2020-12-24","27436","756","0.06217575","0.042758584"
"Florida","2020-12-24","1247538","20994","0.06766343","0.03398347"
"Georgia","2020-12-24","597753","10256","0.08950579","0.028273463"
"Guam","2020-12-24","8235","122","0.010181546","0.01666665"
"Hawaii","2020-12-24","20707","283","0.046812654","0.017985582"
"Idaho","2020-12-24","135383","1353","0.06413102","0.06872034"
"Illinois","2020-12-24","926967","16964","0.051902533","0.061112165"
"Indiana","2020-12-24","485681","7730","0.0791136","0.076601624"
"Iowa","2020-12-24","273661","3739","0.04367113","0.08345401"
"Kansas","2020-12-24","212962","2507","0.0745399","0.11273861"
"Kentucky","2020-12-24","253437","2780","0.06863296","0.07961166"
"Louisiana","2020-12-24","296499","7272","0.06149912","0.04422748"
"Maine","2020-12-24","21226","317","0.18574381","0.14855075"
"Maryland","2020-12-24","260994","5627","0.068565845","0.057905674"
